date,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after,k_factor
2018-03-24,Tahiti,New Caledonia,4.0,3.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-24,Zambia,South Africa,0.0,2.0,1500.0,1500.0,1497.5,1502.5,5.0
2018-03-24,Alderney,Guernsey,0.0,2.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-24,Ivory Coast,Togo,2.0,2.0,1500.0,1500.0,1500.0,1500.0,5.0
2018-03-24,Mauritania,Guinea,2.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-25,Jamaica,Antigua and Barbuda,1.0,1.0,1500.0179886355781,1502.5,1500.035847839172,1502.4821407964062,5.0
2018-03-25,Barbados,Bermuda,0.0,0.0,1500.0,1497.5,1499.9820113644219,1497.5179886355781,5.0
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2.0,1.0,1502.5,1500.0,1504.9820113644219,1497.5179886355781,5.0
2018-03-25,Faroe Islands,Liechtenstein,3.0,0.0,1499.9821398651159,1497.5,1502.4642797369324,1495.0178601281834,5.0
2018-03-25,Gibraltar,Latvia,1.0,0.0,1500.0,1497.535719338478,1502.482268372605,1495.053450965873,5.0
2018-03-25,Yorkshire,Chagos Islands,6.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-25,Nicaragua,Cuba,3.0,3.0,1502.5,1497.5,1502.4640245914547,1497.5359754085453,5.0
2018-03-25,Thailand,Slovakia,2.0,3.0,1500.0,1502.5,1497.5179886355781,1504.9820113644219,5.0
2018-03-25,Kuwait,Cameroon,1.0,3.0,1497.4820113644219,1500.0,1495.000129431888,1502.481881932534,5.0
2018-03-25,Martinique,Trinidad and Tobago,0.0,0.0,1500.0,1502.5,1500.0179886355781,1502.4820113644219,5.0
2018-03-26,Albania,Norway,0.0,1.0,1500.0,1502.5,1497.5179886355781,1504.9820113644219,5.0
2018-03-26,Bulgaria,Kazakhstan,2.0,1.0,1497.4820113644219,1502.5,1500.0181161847047,1499.9638951797172,5.0
2018-03-26,Wales,Uruguay,0.0,1.0,1502.5,1502.5,1500.0,1505.0,5.0
2018-03-26,China PR,Czech Republic,1.0,4.0,1497.5,1497.5,1495.0,1500.0,5.0
2018-03-26,Finland,Malta,5.0,0.0,1502.4820113644219,1497.5,1504.946165367807,1495.0358459966149,5.0
2018-03-26,Portugal,Netherlands,0.0,3.0,1502.5,1497.5,1499.9640245914547,1500.0359754085453,5.0
2018-03-26,Curaçao,Bolivia,1.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-27,Denmark,Chile,0.0,0.0,1500.0179886355781,1502.5179886355781,1500.0359772711563,1502.5,5.0
2018-03-27,Armenia,Lithuania,0.0,1.0,1500.0,1497.5,1497.4820113644219,1500.0179886355781,5.0
2018-03-27,Australia,Colombia,0.0,0.0,1497.5,1502.5,1497.5359754085453,1502.4640245914547,5.0
2018-03-27,Azerbaijan,North Macedonia,1.0,1.0,1497.4821408030596,1500.0179886355781,1497.5003873709802,1499.9997420676575,5.0
2018-03-27,Bahrain,Turkmenistan,4.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-27,Belgium,Saudi Arabia,4.0,0.0,1500.0,1499.964537682822,1502.499744828117,1497.4647928547051,5.0
2018-03-27,Bosnia and Herzegovina,Senegal,0.0,0.0,1500.0179886355781,1500.0,1500.0178591969404,1500.0001294386377,5.0
2018-03-27,Algeria,Iran,1.0,2.0,1502.5,1499.9820113644219,1499.981881932534,1502.500129431888,5.0
2018-03-27,Myanmar,Macau,1.0,0.0,1500.0,1497.5,1500.0,1497.5,0.0
2018-03-27,Central African Republic,Kenya,3.0,2.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-27,Maldives,Bhutan,7.0,0.0,1497.5,1500.0,1497.5,1500.0,0.0
2018-03-27,Iraq,Syria,1.0,1.0,1499.9997429920063,1500.0181189921018,1499.9998752179558,1500.0179867661523,5.0
2018-03-27,Germany,Brazil,0.0,1.0,1500.0,1502.5,1497.5179886355781,1504.9820113644219,5.0
2018-03-27,England,Italy,1.0,1.0,1502.5,1497.5,1502.4640245914547,1497.5359754085453,5.0
2018-03-27,Hungary,Scotland,0.0,1.0,1497.5,1497.5,1495.0,1500.0,5.0
2018-03-27,Jordan,Vietnam,1.0,1.0,1500.0179886355781,1500.0,1500.0179886355781,1500.0,0.0
2018-03-27,North Korea,Hong Kong,2.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-27,Kosovo,Burkina Faso,2.0,0.0,1502.5,1502.5,1505.0,1500.0,5.0
2018-03-27,Kyrgyzstan,India,2.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-27,Laos,Bangladesh,2.0,2.0,1497.5,1500.0,1497.5179886355781,1499.9820113644219,5.0
2018-03-27,Lebanon,Malaysia,2.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-27,Afghanistan,Cambodia,2.0,1.0,1500.0,1502.5,1500.0,1502.5,0.0
2018-03-27,Georgia,Estonia,2.0,0.0,1502.5,1500.0,1504.9820113644219,1497.5179886355781,5.0
2018-03-27,Luxembourg,Austria,0.0,4.0,1502.5,1502.5,1500.0,1505.0,5.0
2018-03-27,Switzerland,Panama,6.0,0.0,1502.5,1497.4820113644219,1504.9638951797172,1495.0181161847047,5.0
2018-03-27,Mexico,Croatia,0.0,1.0,1505.0177297849154,1497.5,1502.4636438113669,1500.0540859735486,5.0
2018-03-27,Russia,France,1.0,3.0,1497.5,1497.5,1495.0,1500.0,5.0
2018-03-27,Montenegro,Turkey,2.0,2.0,1500.0,1502.5,1500.0179886355781,1502.4820113644219,5.0
2018-03-27,Morocco,Uzbekistan,2.0,0.0,1502.5,1500.0,1504.9820113644219,1497.5179886355781,5.0
2018-03-27,Namibia,Lesotho,2.0,1.0,1500.0,1497.5,1502.4820113644219,1495.0179886355781,5.0
2018-03-27,Oman,Palestine,1.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-27,Peru,Iceland,3.0,1.0,1502.5,1502.4462948065393,1504.9996135600722,1499.946681246467,5.0
2018-03-27,Philippines,Tajikistan,2.0,1.0,1502.5,1500.0,1502.5,1500.0,0.0
2018-03-27,Mongolia,Mauritius,0.0,2.0,1500.0,1502.5,1497.5179886355781,1504.9820113644219,5.0
2018-03-27,Poland,South Korea,3.0,2.0,1497.5,1502.428434645188,1500.0354605595392,1499.8929740856488,5.0
2018-03-27,Romania,Sweden,1.0,0.0,1502.5,1499.9820113644219,1504.981881932534,1497.500129431888,5.0
2018-03-27,Serbia,Nigeria,2.0,0.0,1497.5,1502.5,1500.0359754085453,1499.9640245914547,5.0
2018-03-27,Greece,Egypt,1.0,0.0,1497.5,1497.5,1500.0,1495.0,5.0
2018-03-27,Slovenia,Belarus,0.0,2.0,1497.5,1502.4998705613623,1495.0359744773523,1504.96389608401,5.0
2018-03-27,Spain,Argentina,6.0,1.0,1500.0,1502.5,1502.5179886355781,1499.9820113644219,5.0
2018-03-27,Taiwan,Singapore,1.0,0.0,1500.0,1502.5,1500.0,1502.5,0.0
2018-03-27,Tanzania,DR Congo,2.0,0.0,1497.5,1500.0,1500.0179886355781,1497.4820113644219,5.0
2018-03-27,Tunisia,Costa Rica,1.0,0.0,1502.5179886355781,1502.5,1505.0178591969404,1500.0001294386377,5.0
2018-03-27,Uganda,Malawi,0.0,0.0,1502.5,1500.0,1502.4820113644219,1500.0179886355781,5.0
2018-03-27,Ukraine,Japan,2.0,1.0,1499.9997429787,1500.0,1502.499744828117,1497.499998150583,5.0
2018-03-27,United States,Paraguay,1.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-27,Yemen,Nepal,2.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-03-27,Moldova,Ivory Coast,1.0,2.0,1495.035847839172,1500.0,1492.571565354812,1502.46428248436,5.0
2018-03-27,Seychelles,Eswatini,0.0,0.0,1500.0,1500.0,1500.0,1500.0,5.0
2018-04-01,Malaysia,Bhutan,7.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-04-08,Barawa,Chagos Islands,4.0,1.0,1500.0,1497.5,1502.4820113644219,1495.0179886355781,5.0
2018-04-15,Barawa,Yorkshire,2.0,7.0,1502.4820113644219,1502.5,1499.9821408030596,1504.9998705613623,5.0
2018-04-18,Trinidad and Tobago,Panama,0.0,1.0,1502.4820113644219,1495.0181161847047,1499.9283125819836,1497.571814967143,5.0
2018-04-18,Zimbabwe,Botswana,0.0,1.0,1500.0,1502.5,1497.5179886355781,1504.9820113644219,5.0
2018-04-26,Saint Kitts and Nevis,Jamaica,1.0,3.0,1497.5179886355781,1500.035847839172,1495.036105771755,1502.517730702995,5.0
2018-04-29,Ellan Vannin,Panjab,2.0,1.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-04-29,Saint Barthélemy,Saint Martin,3.0,2.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-04-30,Antigua and Barbuda,Jamaica,0.0,2.0,1502.4821407964062,1502.517730702995,1499.9823968863689,1505.0174746130324,5.0
2018-05-06,Barawa,Surrey,1.0,3.0,1499.9821408030596,1500.0,1497.4822693103115,1502.499871492748,5.0
2018-05-08,Iraq,Palestine,0.0,0.0,1499.9998752179558,1500.0,1499.999876115835,1499.999999102121,5.0
2018-05-09,Algeria,Saudi Arabia,0.0,2.0,1499.981881932534,1497.4647928547051,1497.4637703375663,1499.9829044496728,5.0
2018-05-11,Kuwait,Palestine,2.0,0.0,1495.000129431888,1499.999999102121,1497.5361039028294,1497.4640246311794,5.0
2018-05-12,Jersey,Guernsey,1.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-15,Saudi Arabia,Greece,2.0,0.0,1499.9829044496728,1500.0,1502.4830274620456,1497.4998769876272,5.0
2018-05-19,Iran,Uzbekistan,1.0,0.0,1502.500129431888,1497.5179886355781,1504.9642825041274,1495.0538355633387,5.0
2018-05-20,Jordan,Cyprus,3.0,0.0,1500.0179886355781,1500.0,1502.5178591969404,1497.5001294386377,5.0
2018-05-25,Kuwait,Egypt,1.0,1.0,1497.5361039028294,1495.0,1497.517855492433,1495.0182484103964,5.0
2018-05-25,Kenya,Eswatini,0.0,1.0,1497.5,1500.0,1495.0179886355781,1502.4820113644219,5.0
2018-05-26,China PR,Myanmar,1.0,0.0,1495.0,1500.0,1497.5359754085453,1497.4640245914547,5.0
2018-05-26,Saint Barthélemy,Sint Maarten,5.0,3.0,1502.5,1500.0,1504.9820113644219,1497.5179886355781,5.0
2018-05-27,Cameroon,Burkina Faso,0.0,1.0,1502.481881932534,1500.0,1499.96402366023,1502.517858272304,5.0
2018-05-27,Niger,Central African Republic,3.0,3.0,1500.0,1502.5,1500.0179886355781,1502.4820113644219,5.0
2018-05-27,Madagascar,Mozambique,2.0,1.0,1497.5,1500.0,1497.5,1500.0,0.0
2018-05-27,Comoros,Seychelles,1.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-28,Nigeria,DR Congo,1.0,1.0,1499.9640245914547,1497.4820113644219,1499.946165374459,1497.4998705814176,5.0
2018-05-28,Kenya,Equatorial Guinea,1.0,0.0,1495.0179886355781,1500.0,1497.553834632193,1497.4641540033851,5.0
2018-05-28,Italy,Saudi Arabia,2.0,1.0,1497.5359754085453,1502.4830274620456,1500.0715699040516,1499.9474329665393,5.0
2018-05-28,United States,Bolivia,3.0,0.0,1502.5,1497.5,1504.9640245914547,1495.0359754085453,5.0
2018-05-28,Portugal,Tunisia,2.0,2.0,1499.9640245914547,1505.0178591969404,1500.000387290043,1504.9814964983523,5.0
2018-05-28,France,Republic of Ireland,2.0,0.0,1500.0,1497.5,1502.4820113644219,1495.0179886355781,5.0
2018-05-28,Mexico,Wales,0.0,0.0,1502.4636438113669,1500.0,1502.4459167662465,1500.0177270451204,5.0
2018-05-28,South Korea,Honduras,2.0,0.0,1499.8929740856488,1500.0,1502.3937441989838,1497.499229886665,5.0
2018-05-28,Angola,Botswana,1.0,2.0,1500.0,1504.9820113644219,1500.0,1504.9820113644219,0.0
2018-05-28,Turkey,Iran,2.0,1.0,1502.4820113644219,1504.9642825041274,1504.9998724371537,1502.4464214313955,5.0
2018-05-28,Bosnia and Herzegovina,Montenegro,0.0,0.0,1500.0178591969404,1500.0179886355781,1500.0178601283262,1500.0179877041924,5.0
2018-05-28,Malawi,Mauritius,0.0,1.0,1500.0179886355781,1504.9820113644219,1500.0179886355781,1504.9820113644219,0.0
2018-05-29,Argentina,Haiti,4.0,0.0,1499.9820113644219,1500.0,1502.4821408030596,1497.4998705613623,5.0
2018-05-29,Albania,Kosovo,0.0,3.0,1497.5179886355781,1505.0,1495.0718177141555,1507.4461709214227,5.0
2018-05-29,Armenia,Malta,1.0,1.0,1497.4820113644219,1495.0358459966149,1497.464410080534,1495.0534472805027,5.0
2018-05-29,Azerbaijan,Kyrgyzstan,3.0,0.0,1497.5003873709802,1500.0,1500.0183732193443,1497.482014151636,5.0
2018-05-29,Peru,Scotland,2.0,0.0,1504.9996135600722,1500.0,1507.46364093161,1497.5359726284623,5.0
2018-05-29,Panama,Northern Ireland,0.0,0.0,1497.571814967143,1502.53571751564,1497.6075306870446,1502.5000017957384,5.0
2018-05-29,Madagascar,Seychelles,1.0,1.0,1497.5,1500.0,1497.5,1500.0,0.0
2018-05-29,Comoros,Mozambique,0.0,3.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-30,Austria,Russia,1.0,0.0,1505.0,1495.0,1507.42806407917,1492.57193592083,5.0
